,phrase,contaminant,date,city,county,main city,main county,title,page_url
0, Nuestra Directora de Soluciones Comunitarias y Directora de Desarrollo estarán en nuestra oficina de Watsonville junto con dos nuevos empleados (ver la solicitud de empleo más abajo).,lead,"September 17, 2018","['fresno', 'tulare']",['tulare'],fresno,tulare,Agosto 2018 eNews - Community Water Center,https://www.communitywatercenter.org/agosto_2018_enews
1,"org/careersPuestos de trabajo:Organizador Comunitario en la Costa Central: el puesto de organizador comunitario es un puesto regular, de tiempo completo y exento para empleados, que será el principal responsable de la organización y el trabajo de construcción de bases de CWC en las comunidades de la región de la costa norte central.",lead,"September 17, 2018","['fresno', 'tulare']",['tulare'],fresno,tulare,Agosto 2018 eNews - Community Water Center,https://www.communitywatercenter.org/agosto_2018_enews
2,"Asociado de Programación y Administración en la Costa Central: el Asociado de programación y administración es un puesto regular, de tiempo completo, no exento, a voluntad de los empleados, que será el principal responsable de proporcionar apoyo administrativo y de programación para la oficina de la Costa Central.",lead,"September 17, 2018","['fresno', 'tulare']",['tulare'],fresno,tulare,Agosto 2018 eNews - Community Water Center,https://www.communitywatercenter.org/agosto_2018_enews
3," NEW OFFICE IN WATSONVILLE, CAWe are excited to announce that we are opening a new office in the Central Coast! Many small, rural communities of color in this region face similar issues to the San Joaquin Valley, including nitrate contamination of groundwater supplies.",nitrate,"September 17, 2018","['fresno', 'porterville']",[],porterville,,August 2018 eNews - Community Water Center,https://www.communitywatercenter.org/august2018enews
4, Help us build community-based power leading up to November by joining our email list and following us on Facebook and Twitter.,lead,"September 17, 2018","['fresno', 'porterville']",[],porterville,,August 2018 eNews - Community Water Center,https://www.communitywatercenter.org/august2018enews
5, We will be bringing our organizing model to the North Central Coast region with the goal of empowering local leaders to find sustainable drinking water solutions for their communities.,lead,"September 17, 2018","['fresno', 'porterville']",[],porterville,,August 2018 eNews - Community Water Center,https://www.communitywatercenter.org/august2018enews
6,"Bartolo Chavez of Arvin, CA has drinking water contaminated by carcinogenic pesticide byproduct 1,2,3-TCP and arsenic.",carcinogenic,"September 06, 2018",['arvin'],[],arvin,,Justice Delayed - Community Water Center,https://www.communitywatercenter.org/justicedelayed
7,"Bartolo Chavez of Arvin, CA has drinking water contaminated by carcinogenic pesticide byproduct 1,2,3-TCP and arsenic.",arsenic,"September 06, 2018",['arvin'],[],arvin,,Justice Delayed - Community Water Center,https://www.communitywatercenter.org/justicedelayed
8, Help us build community-based power leading up to November by joining our email list and following us on Facebook and Twitter.,lead,"September 06, 2018",['arvin'],[],arvin,,Justice Delayed - Community Water Center,https://www.communitywatercenter.org/justicedelayed
9,"org #NoToxicTaps1,2,3 - TCP1,2,3-trichloropropane (1,2,3-TCP) is a man-made carcinogenic chemical that was added unnecessarily to a fumigant used in agriculture for many decades.",carcinogenic,"July 31, 2018","['fresno', 'tulare', 'orosi', 'porterville']","['tulare', 'kern']",porterville,tulare,July 2018 eNews - Community Water Center,https://www.communitywatercenter.org/july_2018_enews
10," Este puesto de medio tiempo o tiempo completo es un puesto de empleado regular, no exento, por hora.",lead,"July 05, 2018",['tulare'],['tulare'],tulare,tulare,Junio eNews - Community Water Center,https://www.communitywatercenter.org/junio_enews
11," We're hiring for several Program Associate positions, so please send qualified candidates our way!¡Adelante!Susana and Laurel 100+ Community Members Travel to Sacramento Rally! San Joaquin Valley community leaders traveled to Sacramento last week to meet with California legislators about the Governor's Safe and Affordable Drinking Water Fund.",lead,"July 05, 2018","['fresno', 'tulare']","['tulare', 'kern']",tulare,tulare,June 2018 eNews - Community Water Center,https://www.communitywatercenter.org/june_2018_enews
12,"This gap of local leadership is partly due to the complicated and fragmented nature of water governance in CA, and the lack of support and resources for interested leaders to step into decision-making roles themselves.",lead,"July 05, 2018","['fresno', 'tulare']","['tulare', 'kern']",tulare,tulare,June 2018 eNews - Community Water Center,https://www.communitywatercenter.org/june_2018_enews
13," In order to address this gap, the Community Water Center has compiled resources for community leaders to learn more about local water boards and to take the next step to run in their water board election.",lead,"July 05, 2018","['fresno', 'tulare']","['tulare', 'kern']",tulare,tulare,June 2018 eNews - Community Water Center,https://www.communitywatercenter.org/june_2018_enews
14,"For Immediate ReleaseContact: Steven Maviglio, 916-607-8340June 8, 2018SACRAMENTO -- Supporters of a statewide Safe and Affordable Drinking Water Fund today applauded the commitment by Governor Jerry Brown, Legislative leadership and a bipartisan group of legislators to continue to craft a solution to the state’s drinking water crisis.",lead,"June 08, 2018",[],[],,,BACKERS OF SAFE AND AFFORDABLE DRINKING WATER FUND APPLAUD COMMITMENT BY GOVERNOR AND LEGISLATURE TO MOVE FORWARD TO ADDRESS STATE CRISIS - Community Water Center,https://www.communitywatercenter.org/sadwfcommit
